RETIREMENT OUTCOME - Pension, Commutation & Replacement Ratio at Age 60,,,
All values at retirement (age 60), nominal terms unless noted. Sourced from SALARY_PROJ and CORPUS_BUILD.,,,
A. CORPUS AT RETIREMENT (age 60),,,
EPF Corpus at Retirement (?),"136,812,184",Accumulated EPF (employee + employer) @ 8.15% p.a. for 32 years,
NPS Corpus at Retirement (?),"63,600,530",Accumulated NPS (employee + employer) @ blended ~10.75% p.a.,
ELSS / Equity MF Corpus at Retirement (?),"99,290,891",Accumulated ELSS SIP @ net ~12% p.a. (gross 13%  1% TER),
"WeCare Employee Cumulative Contribution (memo, ?)","62,258,019",Employee-funded WeCare contributions - employer separately guarantees the pension,
TOTAL INVESTABLE CORPUS - EPF + NPS + ELSS + PPF (?),"361,961,624",Sum of all four financial vehicles. Excludes WeCare (a separate DB obligation).,
B. SALARY AT RETIREMENT,,,
Final Annual CTC at Retirement (?),"21,735,339","Annual CTC in year 32, grown at the salary-growth rate",
Final Monthly CTC at Retirement (?),"1,811,278",Final annual CTC / 12,
Final Annual Basic at Retirement (?),"8,694,136",Final annual basic salary (= CTC Ũ Basic%),
Final Monthly Basic at Retirement (?),"724,511",Final basic / 12 months - used in the WeCare pension formula,
"Average Monthly Basic, Final 12 Months (?)","724,511","Proxy: final-year monthly basic (salary grows smoothly). In practice, average the last 12 payslips.",
C. INCOME STREAMS AT RETIREMENT,,,
EPF: Monthly Pension via Annuity (?),"627,056",EPF corpus Ũ annuity rate / 12 - assumes full EPF corpus is annuitised at the assumed 5.5% annuity rate,
"NPS: Lump Sum (60% of NPS corpus, tax-free) (?)","38,160,318",60% of NPS corpus is a tax-free lump sum (PFRDA regulation),
NPS: Monthly Annuity Income (?),"116,601",40% of NPS corpus Ũ annuity rate / 12,
ELSS: Available as Lump Sum (?),"99,290,891",Full ELSS corpus available as lump sum (no annuity compulsion); LTCG 10% on gains >?1L applies,
ELSS: Equivalent Monthly Income via Safe Withdrawal Rate (?),"330,970",= ELSS corpus Ũ Safe Withdrawal Rate (4% p.a.) / 12 - sustainable monthly drawdown without depleting principal over a 25-30yr retirement,
D. WECARE DB PENSION,,,
WeCare Monthly Pension (before commutation) (?),"362,256",Final average monthly basic Ũ 50% (plan formula) - the employer's guaranteed obligation,
WeCare Annual Pension (before commutation) (?),"4,347,068",Monthly pension Ũ 12,
WeCare Commuted Portion (% of pension commuted),33%,Up to 33% can be commuted at age 60 per plan rules; tax-free under Section 10(10A),
WeCare Commutation Factor (Ũ annual pension),11.0x,"Lump sum = commuted annual pension Ũ commutation factor (11.0x @ 6% discount, LIC 2020 mortality)",
WeCare Commuted Lump Sum (?),"15,779,856",= Annual pension Ũ commutation % Ũ commutation factor. Tax-free at retirement.,
WeCare Monthly Pension After Commutation (?),"242,711",= Full monthly pension Ũ (1  commutation %) - the recurring monthly income,
E. TOTAL RETIREMENT INCOME & REPLACEMENT RATIO,,,
Monthly Income from EPF Annuity (?),"627,056",EPF monthly pension,
Monthly Income from NPS Annuity (?),"116,601",NPS monthly annuity,
Monthly Income from WeCare DB Pension (?),"362,256",Pre-commutation monthly WeCare pension,
Monthly Income from ELSS (Safe Withdrawal Rate) (?),"330,970",ELSS corpus Ũ 4% SWR / 12 - the equity sleeve converted into a sustainable income stream,
TOTAL MONTHLY RETIREMENT INCOME (?),"1,436,882",Sum of all recurring/equivalent income streams (EPF + NPS + WeCare + ELSS via SWR). PPF and WeCare/NPS lump sums shown separately as available capital.,
Final Monthly Gross Salary (at retirement) (?),"1,811,278",Final monthly CTC - the benchmark for replacement ratio,
REPLACEMENT RATIO - Monthly Income / Final Salary,79.3%,Target: 50%-70% per case specification.,
TARGET RANGE,50%  70%,Case-specified target range. Below 50% = under target; 70%+ = optimal.,
STATUS,EXCELLENT  above 70% target,Auto-assessed against the target range.,
F. TOTAL RETIREMENT WEALTH SUMMARY,,,
Total Lump Sums Available at Retirement (?) - ALTERNATIVE TO ELSS INCOME,"153,231,065","NPS lump sum + ELSS corpus + WeCare commuted amount. NOTE: if ELSS is drawn down as the SWR income stream above (Section E), do not also spend the ELSS lump sum here - pick one treatment to avoid double-counting.",
Total Monthly Recurring/Equivalent Income (?),"1,436,882",Monthly income streams: EPF + NPS + WeCare (post-commutation) + ELSS (via 4% SWR),
"Real Replacement Ratio (inflation-adjusted, illustrative)",12.3%,Nominal final salary further deflated by 32 years of inflation to express in real terms - illustrative only,
